,rxn,avg_real_yield,std
0,288.0,39.60661458333334,27.854962139552416
1,626.0,87.02860000000001,10.683154872976429
2,726.0,81.31020000000001,16.037414940070608
3,826.0,87.28699999999999,8.556007772319985
4,926.0,82.41760000000001,12.198377688856826
5,1026.0,81.4778,12.05293346700296
6,1126.0,77.4585,13.895736135592097
7,1226.0,80.6767,13.859470556626611
8,1326.0,73.46039999999999,16.205541454699993
9,1426.0,68.57669999999999,19.699839799094814
10,1526.0,72.92039999999999,14.510127630038271
11,1626.0,67.5724,13.952739596222672
12,1726.0,63.7173,16.31642092218756
13,1826.0,64.07829999999998,15.660028675261104
14,1926.0,59.2571,13.615140417564556
15,2026.0,55.7856,16.3573321981306
16,2126.0,58.23969999999999,16.281043729134815
17,2226.0,53.9891,18.197091146389305
18,2326.0,55.512,15.69470503067834
19,2426.0,45.961299999999994,17.60054872184387
20,2526.0,45.23120000000001,16.70788390431296
21,2626.0,43.923199999999994,16.954163198459547
22,2726.0,41.265699999999995,14.151941722251404
23,2826.0,34.17359999999999,19.862095182532983
24,2926.0,39.0661,16.867193951277137
25,3026.0,37.6067,15.13644304683237
26,3126.0,33.9153,12.603662281654488
27,3226.0,34.4935,13.342976082943416
28,3326.0,28.248800000000006,15.748300942006411
29,3426.0,28.651400000000002,15.429281902927304
30,3526.0,30.832600000000003,14.365856091441263
31,3626.0,26.2209,14.518762143860613
32,3726.0,29.029399999999995,15.12853091479804
33,3826.0,24.610699999999998,12.701408918305086
34,3926.0,24.222300000000004,10.747668477860675
35,4026.0,19.2254,11.784452250316939
36,4126.0,20.4467,11.155292739771557
37,4226.0,19.5118,10.56234504075681
38,4326.0,18.175300000000004,9.58385052627596
39,4426.0,17.9412,9.636250337138403
40,4526.0,17.507600000000004,10.351590710610617
41,4626.0,16.014100000000003,8.827656324869018
42,4726.0,17.716399999999997,7.6274539028433335
43,4826.0,14.042799999999998,6.382910163867261
44,4926.0,16.964000000000002,6.536123774837805
45,5026.0,13.8178,6.877323837075
46,5126.0,14.6106,6.108580165635874
47,5226.0,15.135400000000004,4.4971712042127105
48,5326.0,11.975599999999996,6.4860439899834175
49,5426.0,13.4526,4.357129242976389
50,5526.0,9.412799999999999,5.156700704908129
51,5626.0,5.2548,6.865767324924433
52,5710.0,3.2702380952380956,5.8403018872132675
